id_artist;album_name;nombre_art;aÃ±o_public;duracion_total_album
1;enter the wutang 36 chamber;wu tang clan;1993;0:00:36
2;Negro;ricardo arjona;2020;0:00:50
3;motivo personal;dann niggaz;2017;0:00:23
4;de costa a costa;mariano civico;2000;0:00:01
5;una sangre;rekeson;2017;0:00:01
6;Ã‚Â¿donde estÃƒÂ n los ladrones?;shakira;1998;0:00:41
7;miss mujerzuela;caramelos de cianuro;2000;0:00:41
8;use your illusion I;guns n roses;1991;0:00:01
9;carita triste;anakena;2022;0:00:22
10;instrospection reimagined;umi;2021;0:00:27
11;mama's guns;erykah badu;2000;0:00:01
12;prophecy;capleton;1995;0:00:59
13;raw;konshens;2018;0:00:44
14;Be;common;2005;0:00:42
15;nueve ;micro tdh;2021;0:00:48
16;Freedom legacy;queen omega;2023;0:00:56
17;emocionado;fidel nadal;2007;0:00:48
18;Inicios;ke personajes;2019;0:00:18
19;enema of the state;blink 182;1999;0:00:35
20;extravagante;orquesta mulenze;1990;0:00:38
21;I can feel your pain;gyptian;2008;0:00:57
22;no games;serani;2010;0:00:48
23;Art and Life;bennie man;2000;0:00:01
24;rastafari teach I everythng;sizzla;2001;0:00:52
25;Hail the king;fantan mojah;2005;0:00:01
26;di letra;jerry di;2020;0:00:30
27;forever together !;fidel nadal;2010;0:00:01
28;king chango;king chango;1996;0:00:56
29;Yessir whatever;quasimoto;2013;0:00:32
30;La misma pluma;adolescent's orquesta;1998;0:00:51
31;Mejor que ayer;david pabon;2001;0:00:57
32;Confession (expanded edition);usher;2004;0:00:01
33;black on both sides;mos def;1999;0:00:01
34;nigga please;old dirty bastard;1999;0:48:07
35;sensual;tito rojas;1990;0:00:39
36;amor y control;ruben blades;1992;0:00:54
37;climb;queen ifrica;2017;0:00:01
38;Return of the Dream Canteen;red hot chilli peppers;20227;0:00:01
39;Despertar;zona ganjah;NULL;0:00:00
