tipo_genero ;id_artist;play_list ;album_name
rap en ingles;1;I love my 90 hip hop;enter the wutang 36 chamber
pop latino;2;this is arjon;Negro
rap en espanol;3;rap venezolado;motivo personal
salsa;4;salsa de los 80;de costa a costa
rap en espanol;5;rap venezolado;una sangre
pop latino;6;dos iconos shakira-alejandro sanz;¿donde estan los ladrones?
rock en español;7;rock nacional venezolano;miss mujerzuela
rock ;8;dont cry alternative lyrics;use your illusion I
reggae - pop;9;anakena radio;carita triste
neo soul - R&B;10;introspection reimagined;instrospection reimagined
neo soul;11;radio erykah badu;mama's guns
reggae ;12;this is capleton;prophecy
dancehall;13;radio konshens;raw
rap en ingles;14;morning rhythm;Be
reggaeton;15;el tren micro tdh;nueve 
reggae ;16;rototom 2023;Freedom legacy
pop latino;17;clasicos en vivo;MTV unplugged
cumbia;18;dame mas cumbia;Inicios
rock;19;90s rock anthems;enema of the state
salsa;20;salsa baul ccs;extravagante
reggae;21;radio gyptian;I can feel your pain
dacehall;22;i dont want to play no games ;no games
dancehall;23;girls them sugar vibes;Art and Life
reggae ;24;black britains;rastafari teach I everythng
reggae ;25;the biggest reggae one drop;Hail the king
reggaeton;26;verano en paris;di letra
reggae ;27;reggae al sur;forever together 
ska latino;28;ska latino;king chango
rap en ingles;29;best of quasimoto;Yessir whatever
salsa;30;salsas venezolana;La misma pluma
salsa;31;salsa baul ccs;Mejor que ayer
R&B;32;my boo radio;Confession (expanded edition)
rap en ingles;33;mos def auditorium;black on both sides
rap en ingles;34;I love my 90 hip hop;nigga please
salsa;35;salsa romatica y sensual;sensual
