id_artist;play_list;cant_canciones;cant_de_me_gusta
1;old school hip hop;84;2866
6;shakira pero de los viejas;25;901
7;caramelos de cianuro exitos;61;187
8;GNR greatest hit;8;363
10;UMI,sza & giveon;70;1737
11;tlc, erykah badu & norah;144;1137
12;best of capleton;47;4437
13;dancehall old skool;115;534
15;micro TDH play;52;139
17;alejandro sanz viejas ybuenas;23;5992
18;vivo de cumbia;64;12409
19;blink 182 setlist 2023;25;615
21;best of gyptian;32;460
24;sizzla mix;82;203
26;flow venezuela;60;78401
27;reggae en espanol;100;1249328
28;listen to king chango;23;165
29;quasimoto & mf doom;199;200
30;virgen adolescentes orquesta;105;17445
31;clasicos de sasla romantica;28;654
32;usher antigas;18;714
33;mos def kalifornia;46;338
35;tito rojas mix;21;150
36;dame salsa;90;476407
;;;
#los datos eliminados en esta tabla fueron hechos en el SP_DELETE_PLAYLIST_C_MENOS_LIKES;;;
