id_artist;id_reproduc;album_name;tipo_genero;play_list
1;1;enter the wutang 36 chamber;rap en ingles;I love my 90 hip hop
2;2;Negro;pop latino;this is arjona
3;3;motivo personal;rap en espanol;rap venezolado
4;4;de costa a costa;salsa;salsa de los 80
5;5;una sangre;rap en espanol;rap venezolado
6;6;¿donde esta n los ladrones?;pop latino;shakira-alejandro sanz
7;7;miss mujerzuela;rock en español;rock nacional venezolano
8;8;use your illusion I;rock;dont cry alternative lyrics
9;9;carita triste;reggae - pop;anakena radio
10;10;instrospection reimagined;neo soul - R&B;introspection reimagined
11;11;mamas guns;neo soul;radio erykah badu
12;12;prophecy;reggae;this is capleton
13;13;raw;dancehall;radio konshens
14;14;Be;rap en ingles;morning rhythm
15;15;nueve;reggaeton;el tren micro tdh
16;16;Freedom legacy;reggae;rototom 2023
17;17;Inicios;pop latino;clasicos en vivo
18;18;enema of the state;cumbia;dame mas cumbia
19;19;extravagante;rock;90s rock anthems
20;20;I can feel your pain;salsa;salsa baul ccs
21;21;no games;reggae;radio gyptian
22;22;Art and Life;dacehall;i dont want to play no games
23;23;rastafari teach I everythng;dancehall;girls them sugar vibes
24;24;Hail the king;reggae;black britains
25;25;di letra;reggae;the biggest reggae one drop
26;26;forever together;reggaeton;verano en paris
27;27;king chango;reggae;reggae al sur
28;28;Yessir whatever;ska latino;ska latino
29;29;La misma pluma;rap en ingles;best of quasimoto
30;30;Mejor que ayer;salsa;salsas venezolana
31;31;confession (expanded edition);salsa;salsa baul ccs
32;32;black on both sides;R&B;my boo radio
33;33;nigga please;rap en ingles;"	mos def auditorium"
34;34;sensual;rap en ingles;I love my 90 hip hop
35;35;30 exitos insuperable;salsa;salsa romatica y sensual
36;36;amor y control;salsa;dame salsa
